type,type2,type3,region_2024,unit,election,list,lists_national,listmin,listmax,candidates,ifp_candidates,ifp_seats,dm,as,as2,enpv,enps,enpv_national,enps_national,sp,spm,logmag,polarization_district,polarization_national,dif,dif2,ethnic_frac,ethnic_number,ethnic_presence,av_id,Rae,LH,Lijphart_1,Lijphart_2,Gallagher,Cox_Shugart,Mainwaring_Jones,Chhibber_Kollman,votes,subunits,percent_ind
Diputados,Diputados 2017-2021,Diputados - 2021,15,1,2021,8,12,0.678657104,35.57107877,23,0,0,3,155,155,4.38,1.8,5.93,4.25,465,2.783399162,1.098612289,5.243749837,5.753663937,3.62,2.58,0.505090048,15.54538552,59.32914155,5.197568767,0.1,0.41,0.31,0.19,0.64,0.44,87.132,1.039,80453,4,0
Diputados,Diputados 2017-2021,Diputados - 2021,1,2,2021,7,12,1.461144347,26.50034456,21,0,0,3,155,155,5.03,3,5.93,4.25,465,2.783399162,1.098612289,5.088473044,5.753663937,1.97,2.03,0.401451401,8.204645323,51.67033145,5.220614819,0.1,0.34,0.17,0.13,0.58,0.41,87.132,1.039,100127,7,0
Diputados,Diputados 2017-2021,Diputados - 2021,2,3,2021,10,12,1.170062649,20.53292483,50,0,0,5,155,155,6.21,3.57,5.93,4.25,775,3.030751186,1.609437912,5.088412935,5.753663937,3.79,2.64,0.249328805,4.70258146,24.14231493,4.685945796,0.05,0.23,0.19,0.07,0.48,0.53,87.132,1.039,182127,9,0
Diputados,Diputados 2017-2021,Diputados - 2021,3,4,2021,8,12,2.723148279,38.35092054,39,1,0,5,155,155,4.39,2.27,5.93,4.25,775,3.030751186,1.609437912,4.113744608,5.753663937,3.61,2.12,0.337745092,2.963795924,21.79279249,4.466430903,0.07,0.26,0.22,0.12,0.51,0.56,87.132,1.039,98746,9,2.564102564
Diputados,Diputados 2017-2021,Diputados - 2021,4,5,2021,9,12,1.672993527,23.1934668,54,0,0,7,155,155,6.03,3.77,5.93,4.25,1085,3.205567722,1.945910149,4.915658956,5.753663937,2.97,2.26,0.161750005,0.861059996,8.455427242,4.809527027,0.05,0.24,0.08,0.08,0.49,0.58,87.132,1.039,236821,15,0
Diputados,Diputados 2017-2021,Diputados - 2021,5,6,2021,9,12,1.154416586,22.95296498,69,0,0,8,155,155,5.59,4.57,5.93,4.25,1240,3.277708149,2.079441542,5.447446587,5.753663937,3.41,1.02,0.113955126,0.911644542,6.001999101,4.829603947,0.02,0.1,0.04,0.04,0.31,0.79,87.132,1.039,355331,26,0
Diputados,Diputados 2017-2021,Diputados - 2021,5,7,2021,9,12,1.876728233,25.70629708,72,0,0,8,155,155,5.51,3.56,5.93,4.25,1240,3.277708149,2.079441542,5.973741988,5.753663937,3.49,1.95,0.136455247,1.544827841,11.01577606,4.945539265,0.05,0.21,0.12,0.08,0.46,0.61,87.132,1.039,356578,12,0
Diputados,Diputados 2017-2021,Diputados - 2021,13,8,2021,12,12,1.187579236,24.48459529,79,1,0,8,155,155,7.01,5.33,5.93,4.25,1240,3.277708149,2.079441542,6.329004337,5.753663937,4.99,1.68,0.190127254,3.226465564,10.28999349,4.649807644,0.03,0.17,0.07,0.05,0.41,0.71,87.132,1.039,470116,8,1.265822785
Diputados,Diputados 2017-2021,Diputados - 2021,13,9,2021,11,12,1.118980425,36.585417,63,0,0,7,155,155,5.1,2.33,5.93,4.25,1085,3.205567722,1.945910149,6.319417468,5.753663937,5.9,2.77,0.205506993,4.083144314,11.28587657,3.958397746,0.06,0.36,0.21,0.14,0.6,0.54,87.132,1.039,333786,8,0
Diputados,Diputados 2017-2021,Diputados - 2021,13,10,2021,11,12,0.927267395,34.47981547,81,0,0,8,155,155,4.73,2.91,5.93,4.25,1240,3.277708149,2.079441542,6.150046103,5.753663937,6.27,1.82,0.154219573,2.49765358,8.730939623,4.713776497,0.03,0.19,0.16,0.08,0.43,0.68,87.132,1.039,456934,6,0
Diputados,Diputados 2017-2021,Diputados - 2021,13,11,2021,9,12,0.648302141,41.07979345,47,0,0,6,155,155,3.88,2.57,5.93,4.25,930,3.124259925,1.791759469,5.131983251,5.753663937,5.12,1.31,0.123827121,2.636297,6.014174386,5.916098373,0.05,0.21,0.12,0.11,0.46,0.71,87.132,1.039,413079,5,0
Diputados,Diputados 2017-2021,Diputados - 2021,13,12,2021,11,12,0.875879642,26.69877035,71,0,0,7,155,155,5.51,2.88,5.93,4.25,1085,3.205567722,1.945910149,6.724172988,5.753663937,5.49,2.63,0.20225078,3.658395257,10.36333858,4.093456919,0.05,0.3,0.16,0.11,0.55,0.57,87.132,1.039,392063,5,0
Diputados,Diputados 2017-2021,Diputados - 2021,13,13,2021,10,12,1.611173026,30.98377557,46,0,0,5,155,155,5.38,2.78,5.93,4.25,775,3.030751186,1.609437912,4.479237664,5.753663937,4.62,2.6,0.192529482,3.325427877,10.60725242,3.946470237,0.07,0.35,0.17,0.13,0.59,0.53,87.132,1.039,239577,6,0
Diputados,Diputados 2017-2021,Diputados - 2021,13,14,2021,9,12,1.709003102,25.46475987,47,0,0,6,155,155,5.71,3.6,5.93,4.25,930,3.124259925,1.791759469,5.558134816,5.753663937,3.29,2.11,0.165236873,2.282181321,7.985717421,4.526273238,0.05,0.24,0.11,0.09,0.49,0.59,87.132,1.039,325921,14,0
Diputados,Diputados 2017-2021,Diputados - 2021,6,15,2021,9,12,0.878672676,36.50293311,34,0,0,5,155,155,4.3,2.78,5.93,4.25,775,3.030751186,1.609437912,4.589606789,5.753663937,4.7,1.52,0.133705226,1.711552201,6.613333454,4.760944384,0.05,0.23,0.15,0.11,0.48,0.66,87.132,1.039,198595,13,0
