Title,Author,Year,Cow,Calves or Heifers,Housed,Pasture,Country 1,Country 2,Continent,Calf Behavior,Cow Behavior,Cow Performance,Calf Performance,Cow Health and Physiology and Physiology,Calf Health and Physiology,Cow Affective State,Calf Affective State
Behavior of calves reared with half-day contact with their dams,Bertelsen and Jensen,2023,,Calves or Heifers,Housed,,Denmark,,Europe,Calf Behavior,,,,,,,
Impact of early dam contact on veal calf welfare,Webb et al.,2022,Cow,Calves or Heifers,Housed,,The Netherlands,,Europe,Calf Behavior,,Cow Performance,Calf Performance,,Calf Health and Physiology,,
Behavioral responses of dairy cows and their calves to gradual or abrupt weaning and separation when managed in full- or part-time cow-calf contact systems,Neave et al.,2023,Cow,Calves or Heifers,Housed,,Denmark,,Europe,Calf Behavior,Cow Behavior,,,,,,
Maternal behavior of dairy cows and suckling behavior of dairy calves in different cow-calf contact conditions,Jensen et al.,2024,Cow,Calves or Heifers,Housed,,Denmark,,Europe,Calf Behavior,Cow Behavior,,,,,,
Dam–calf contact rearing in Switzerland: Aspects of management and milking,Rell et al.,2024,Cow,Calves or Heifers,Housed,,Switzerland,,Europe,Calf Behavior,Cow Behavior,Cow Performance,,,,,
Comparing weaning methods in dairy calves with different dam contact levels,Bertelsen and Jensen,2023,,Calves or Heifers,Housed,,Denmark,,Europe,Calf Behavior,,,Calf Performance,,Calf Health and Physiology,,
A pilot study on the feasibility of an extended suckling system for pasture-based dairies,Ospina Rios et al. ,2023,Cow,Calves or Heifers,,Pasture,Australia,,Australasia,,Cow Behavior,Cow Performance,Calf Performance,Cow Health and Physiology,Calf Health and Physiology,,
Evaluation of raising dairy calves by foster cows in Mexico,Contreras et al.,2024,Cow,Calves or Heifers,Housed,,Mexico,,South America,,Cow Behavior,Cow Performance,Calf Performance,Cow Health and Physiology,Calf Health and Physiology,,
Effect of cow‑calf contact on cow motivation to reunite with their calf,Wenker et al.,2020,,,Housed,,Canada,,North America,,Cow Behavior,,,,,,
Behavioral responses to cow and calf separation: Separation at 1 and 100 days after birth,Mac et al.,2022,Cow,Calves or Heifers,,Pasture,Australia,,Australasia,Calf Behavior,Cow Behavior,,,,,,
Dairy cow and calf behavior and productivity when maintained together on a pasture-based system,Mac et al.,2022,Cow,Calves or Heifers,,Pasture,Australia,,Australasia,Calf Behavior,Cow Behavior,Cow Performance,Calf Performance,,,,
Assessing the emotional states of dairy cows housed with or without their calves,Neave et al.,2023,Cow,,Housed,,Denmark,,Europe,,Cow Behavior,,,,,Cow Affective State,
Gradual weaning of 3-month-old calves from foster cows in dairy production,Jensen et al.,2024,,Calves or Heifers,Housed,,Denmark,,Europe,Calf Behavior,,,,,,,
Investigations on transfer of pathogens between foster cows and calves during the suckling period,Köllmann et al.,2021,Cow,Calves or Heifers,Housed,,Germany,,Europe,,,,,Cow Health and Physiology,Calf Health and Physiology,,
Suckling and allosuckling behavior of dairy calves in indoor dam-rearing systems,Wegner et al.,2025,,Calves or Heifers,Housed,,Sweden,,Europe,Calf Behavior,,,Calf Performance,,,,
Effects of whole-day versus half-day cow-calf contact on cows’ and calves’ performance,Zipp and Knierim,2024,Cow,Calves or Heifers,Housed,,Germany,,Europe,,,Cow Performance,Calf Performance,Cow Health and Physiology,,,
Time budgets of dairy cows in a cow-calf contact system with automatic milking,Johansson et al.,2024,Cow,Calves or Heifers,Housed,,Sweden,,Europe,Calf Behavior,Cow Behavior,,,,,,
Investigating cow−calf contact in cow-driven systems: Behaviour of the dairy cow and calf,Johnsen et al.,2021,Cow,Calves or Heifers,Housed,,Norway,,Europe,Calf Behavior,Cow Behavior,,,,,,
Dairy cows’ motivation to nurse their calves,Jensen et al.,2024,,Cow,Housed,,Denmark,,Europe,,Cow Behavior,,,,,,
"The influence of maternal contact on activity, emotionality and social competence in young dairy calves",Santo et al.,2020,,Calves or Heifers,Housed,,Germany,,Europe,Calf Behavior,,,,,,,
Separation from the dam causes negative judgement bias in dairy calves,Daros et al.,2024,,Calves or Heifers,Housed,,Canada,,North America,,,,,,,,Calf Affective State
"Effect of type of cow-calf contact on health, blood parameters, and performance of dairy cows and calves",Wenker et al.,2022,Cow,Calves or Heifers,Housed,,The Netherlands,,Europe,,,Cow Performance,Calf Performance,Cow Health and Physiology,Calf Health and Physiology,,
Cow-calf contact: A single-herd observational study of AMS yield during the first 100 days in milk,Hanssen et al.,2024,Cow,,Housed,,Norway,,Europe,,,Cow Performance,,,,,
Proposed methods for estimating loss of saleable milk in a cow-calf contact system with automatic milking,Churakov et al.,2023,Cow,,Housed,,Sweden,,Europe,,,Cow Performance,,,,,
Play and social behaviour of calves with or without access to their dam and other cows,Waiblinger et al.,2020,,Calves or Heifers,Housed,,Germany,,Europe,Calf Behavior,,,,,,,
Rearing system with nurse cows and risk factors for Cryptosporidium infection in organic dairy calves,Constancis et al. ,2021,,Calves or Heifers,Housed,Pasture,France,,Europe,,,,,,Calf Health and Physiology,,
Factors contributing to milk yield variation among cows in a cow-calf contact system in early lactation,Mutua and Haskell,2022,Cow,,,Pasture,Scotland,,Europe,,,Cow Performance,,,,,
Effect of the daily duration of calf contact on the dam's ultradian and circadian activity rhythms,Schneider et al.,2024,Cow,,Housed,,Germany,,Europe,,Cow Behavior,,,,,,
Comparing the effects of contact duration on cow and calf performance beyond separation - A prospective cohort study,Sørby et al.,2024,Cow,Calves or Heifers,,,Norway,,Europe,,,Cow Performance,Calf Performance,,,,
Providing supplementary milk to suckling dairy calves improves performance at separation and weaning,Johnsen et al.,2015,Cow,Calves or Heifers,Housed,,Canada,,North America,Calf Behavior,,Cow Performance,Calf Performance,,,,
Duration of dam contact had a long effect on calf rumen microbiota without affecting growth,Voland et al.,2025,,Calves or Heifers,,Pasture,France,,Europe,,,,Calf Performance,,Calf Health and Physiology,,
Animal performance and stress at weaning when dairy cows suckle their calves for short versus long daily durations,Nicolao et al.,2022,Cow,Calves or Heifers,,Pasture,France,,Europe,Calf Behavior,Cow Behavior,Cow Performance,Calf Performance,Cow Health and Physiology,Calf Health and Physiology,,
Do cows see the forest or the trees? A preliminary investigation of attentional scope as a potential indicator of emotional state in dairy cows housed with their calves,Neave et al.,2023,Cow,,Housed,,Denmark,,Europe,,,,,,,Cow Affective State,
Gastrointestinal nematode and lungworm infections in organic dairy calves reared with nurse cows during their first grazing season in western France,Constancis et al. ,2024,Cow,Calves or Heifers,Housed,Pasture,France,,Europe,,,,,Cow Health and Physiology,Calf Health and Physiology,,
